pollster,numeric_grade,candidate_name,party,pct,sample_size,population,start_date,end_date,recent_poll
Patriot Polling,1.1,Kamala Harris,DEM,49.4,1115,Voters,2024-11-01,2024-11-03,Recent
Patriot Polling,1.1,Donald Trump,REP,48.1,1115,Voters,2024-11-01,2024-11-03,Recent
Leger,2,Kamala Harris,DEM,49,950,Voters,2024-10-31,2024-11-03,Recent
Leger,2,Donald Trump,REP,49,950,Voters,2024-10-31,2024-11-03,Recent
AtlasIntel,2.7,Kamala Harris,DEM,47.2,2463,Voters,2024-11-01,2024-11-02,Recent
AtlasIntel,2.7,Donald Trump,REP,49,2463,Voters,2024-11-01,2024-11-02,Recent
AtlasIntel,2.7,Kamala Harris,DEM,48.3,2463,Voters,2024-11-01,2024-11-02,Recent
AtlasIntel,2.7,Donald Trump,REP,49.8,2463,Voters,2024-11-01,2024-11-02,Recent
TIPP,1.8,Kamala Harris,DEM,48,1305,Voters,2024-10-31,2024-11-02,Recent
TIPP,1.8,Donald Trump,REP,49,1305,Voters,2024-10-31,2024-11-02,Recent
TIPP,1.8,Kamala Harris,DEM,47.6,1305,Voters,2024-10-31,2024-11-02,Recent
TIPP,1.8,Donald Trump,REP,48.6,1305,Voters,2024-10-31,2024-11-02,Recent
Emerson,2.9,Kamala Harris,DEM,49.4,1000,Voters,2024-10-30,2024-11-02,Recent
Emerson,2.9,Donald Trump,REP,49.2,1000,Voters,2024-10-30,2024-11-02,Recent
Hart/POS,2.6,Kamala Harris,DEM,46,1000,Voters,2024-10-30,2024-11-02,Recent
Hart/POS,2.6,Donald Trump,REP,47,1000,Voters,2024-10-30,2024-11-02,Recent
Hart/POS,2.6,Kamala Harris,DEM,49,1000,Voters,2024-10-30,2024-11-02,Recent
Hart/POS,2.6,Donald Trump,REP,49,1000,Voters,2024-10-30,2024-11-02,Recent
Ipsos,2.8,Kamala Harris,DEM,49,3140,Adults,2024-10-29,2024-11-01,Recent
Ipsos,2.8,Donald Trump,REP,46,3140,Adults,2024-10-29,2024-11-01,Recent
Ipsos,2.8,Kamala Harris,DEM,49,2735,Voters,2024-10-29,2024-11-01,Recent
Ipsos,2.8,Donald Trump,REP,46,2735,Voters,2024-10-29,2024-11-01,Recent
Ipsos,2.8,Kamala Harris,DEM,49,2267,Voters,2024-10-29,2024-11-01,Recent
Ipsos,2.8,Donald Trump,REP,46,2267,Voters,2024-10-29,2024-11-01,Recent
Kaplan Strategies,2,Kamala Harris,DEM,47,671,Voters,2024-10-31,2024-10-31,Recent
Kaplan Strategies,2,Donald Trump,REP,48,671,Voters,2024-10-31,2024-10-31,Recent
AtlasIntel,2.7,Kamala Harris,DEM,47.2,3490,Voters,2024-10-30,2024-10-31,Recent
AtlasIntel,2.7,Donald Trump,REP,49.1,3490,Voters,2024-10-30,2024-10-31,Recent
AtlasIntel,2.7,Kamala Harris,DEM,48.2,3490,Voters,2024-10-30,2024-10-31,Recent
AtlasIntel,2.7,Donald Trump,REP,49.6,3490,Voters,2024-10-30,2024-10-31,Recent
