pollster,numeric_grade,candidate_name,party,pct,sample_size,population,methodology,recent_poll
YouGov,3,Kamala Harris,DEM,47,1414,Voters,Online Panel,Recent
YouGov,3,Donald Trump,REP,44,1414,Voters,Online Panel,Recent
YouGov,3,Jill Stein,GRE,1,1414,Voters,Online Panel,Recent
YouGov,3,Cornel West,IND,0,1414,Voters,Online Panel,Recent
YouGov,3,Kamala Harris,DEM,49,1230,Voters,Online Panel,Recent
YouGov,3,Donald Trump,REP,45,1230,Voters,Online Panel,Recent
YouGov,3,Jill Stein,GRE,1,1230,Voters,Online Panel,Recent
YouGov,3,Cornel West,IND,0,1230,Voters,Online Panel,Recent
Ipsos,2.8,Kamala Harris,DEM,42,1272,Adults,Probability Panel,Recent
Ipsos,2.8,Donald Trump,REP,38,1272,Adults,Probability Panel,Recent
Ipsos,2.8,Kamala Harris,DEM,46,1076,Voters,Probability Panel,Recent
Ipsos,2.8,Donald Trump,REP,43,1076,Voters,Probability Panel,Recent
Ipsos,2.8,Kamala Harris,DEM,47,1076,Voters,Probability Panel,Recent
Ipsos,2.8,Donald Trump,REP,45,1076,Voters,Probability Panel,Recent
Ipsos,2.8,Kamala Harris,DEM,48,1272,Adults,Probability Panel,Recent
Ipsos,2.8,Donald Trump,REP,47,1272,Adults,Probability Panel,Recent
Ipsos,2.8,Kamala Harris,DEM,50,1076,Voters,Probability Panel,Recent
Ipsos,2.8,Donald Trump,REP,48,1076,Voters,Probability Panel,Recent
Ipsos,2.8,Kamala Harris,DEM,51,1076,Voters,Probability Panel,Recent
Ipsos,2.8,Donald Trump,REP,49,1076,Voters,Probability Panel,Recent
Redfield & Wilton Strategies,1.8,Kamala Harris,DEM,48,1918,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Donald Trump,REP,46,1918,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Chase Oliver,LIB,1,1918,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Jill Stein,GRE,1,1918,Voters,Online Panel,Recent
Research Co.,2.4,Kamala Harris,DEM,49,1001,Voters,Online Panel,Recent
Research Co.,2.4,Donald Trump,REP,45,1001,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,51,11353,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,46,11353,Voters,Online Panel,Recent
Siena/NYT,3,Kamala Harris,DEM,49,3385,Voters,Live Phone,Recent
Siena/NYT,3,Donald Trump,REP,46,3385,Voters,Live Phone,Recent
Siena/NYT,3,Kamala Harris,DEM,47,3385,Voters,Live Phone,Recent
Siena/NYT,3,Donald Trump,REP,44,3385,Voters,Live Phone,Recent
Siena/NYT,3,Jill Stein,GRE,1,3385,Voters,Live Phone,Recent
Siena/NYT,3,Chase Oliver,LIB,1,3385,Voters,Live Phone,Recent
Morning Consult,1.9,Kamala Harris,DEM,51,10844,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,10844,Voters,Online Panel,Recent
TIPP,1.8,Kamala Harris,DEM,49,997,Voters,Online Panel,Recent
TIPP,1.8,Donald Trump,REP,46,997,Voters,Online Panel,Recent
TIPP,1.8,Kamala Harris,DEM,48,997,Voters,Online Panel,Recent
TIPP,1.8,Donald Trump,REP,45,997,Voters,Online Panel,Recent
TIPP,1.8,Robert F. Kennedy,IND,2,997,Voters,Online Panel,Recent
TIPP,1.8,Cornel West,IND,0,997,Voters,Online Panel,Recent
TIPP,1.8,Jill Stein,GRE,0,997,Voters,Online Panel,Recent
YouGov,3,Kamala Harris,DEM,46,1150,Voters,Online Panel,Recent
YouGov,3,Donald Trump,REP,45,1150,Voters,Online Panel,Recent
YouGov,3,Cornel West,IND,1,1150,Voters,Online Panel,Recent
YouGov,3,Jill Stein,GRE,1,1150,Voters,Online Panel,Recent
YouGov,3,Chase Oliver,LIB,1,1150,Voters,Online Panel,Recent
YouGov,3,Kamala Harris,DEM,47,1032,Voters,Online Panel,Recent
