candidate_name,end_date,avg_pct,total_sample_size
Donald Trump,2021-04-16,28,1105
Donald Trump,2021-05-13,36,1561
Donald Trump,2021-05-18,49,1000
Donald Trump,2021-05-26,36,1588
Donald Trump,2021-06-20,49,1000
Donald Trump,2021-06-22,40,1001
Donald Trump,2021-06-24,35,1592
Donald Trump,2021-08-02,37,1552
Donald Trump,2021-08-03,49,1000
Donald Trump,2021-08-17,43,1000
Donald Trump,2021-09-01,46.6,1200
Donald Trump,2021-09-05,39,2648
Donald Trump,2021-09-14,49.5,2000
Donald Trump,2021-09-20,37,2637
Donald Trump,2021-09-22,51.5,2000
Donald Trump,2021-09-23,39,1005
Donald Trump,2021-10-05,38.5,2650
Donald Trump,2021-10-17,38.333333333333336,3373
Donald Trump,2021-10-18,49,1000
Donald Trump,2021-10-19,41,2196
Donald Trump,2021-10-21,40,1704
Donald Trump,2021-10-28,46,1688
Donald Trump,2021-10-31,40,2717
Donald Trump,2021-11-04,44.6,1000
Donald Trump,2021-11-05,43.6,1000
Donald Trump,2021-11-08,39,1673
Donald Trump,2021-11-10,34,1004
Donald Trump,2021-11-15,41.5,3000
Donald Trump,2021-11-16,49.5,2000
Donald Trump,2021-11-18,45,1013
Donald Trump,2021-11-22,45,1500
Donald Trump,2021-11-23,45,1200
Donald Trump,2021-12-02,48.666666666666664,5967
Donald Trump,2021-12-05,39,5296
Donald Trump,2021-12-13,38,3729
Donald Trump,2021-12-18,41.5,2748
Donald Trump,2021-12-19,49,750
Donald Trump,2022-01-05,46,1016
Donald Trump,2022-01-09,39.75,5522
Donald Trump,2022-01-18,50.333333333333336,3000
Donald Trump,2022-01-20,47.5,3630
Donald Trump,2022-01-21,33,1000
Donald Trump,2022-01-23,43.666666666666664,4063
Donald Trump,2022-01-24,41.5,2758
Donald Trump,2022-02-06,40,5410
Donald Trump,2022-02-09,44,1600
Donald Trump,2022-02-20,48,1138
Donald Trump,2022-02-22,49.333333333333336,3000
Donald Trump,2022-02-23,37.2,6364
Donald Trump,2022-02-24,46.556666666666665,5098
Donald Trump,2022-02-27,40.5,2701
Donald Trump,2022-03-07,45,1500
Donald Trump,2022-03-08,40.25,5388
Donald Trump,2022-03-09,45.666666666666664,2400
Donald Trump,2022-03-14,38,2848
Donald Trump,2022-03-20,40.18,6409
Donald Trump,2022-03-21,44.705,4973
Donald Trump,2022-03-22,50,3000
Donald Trump,2022-03-24,44.333333333333336,4984
Donald Trump,2022-04-03,40.5,5410
Donald Trump,2022-04-04,39,2851
Donald Trump,2022-04-18,44,3000
Donald Trump,2022-04-20,45.25,4004
Donald Trump,2022-04-21,46,3932
Donald Trump,2022-04-22,39.5,2792
Donald Trump,2022-04-23,47,750
Donald Trump,2022-04-25,43.5,4008
Donald Trump,2022-04-26,48.48,5000
Donald Trump,2022-04-27,46,1600
Donald Trump,2022-05-01,39.75,5192
Donald Trump,2022-05-02,50,1004
Donald Trump,2022-05-17,39.75,5240
Donald Trump,2022-05-19,46,3926
Donald Trump,2022-05-22,40.5,2933
Donald Trump,2022-05-23,44,2040
Donald Trump,2022-05-25,44.4,1148
Donald Trump,2022-05-30,41.5,5346
Donald Trump,2022-06-13,43,2784
Donald Trump,2022-06-15,38,5128
Donald Trump,2022-06-20,41.5,4120
Donald Trump,2022-06-22,49.5,2000
Donald Trump,2022-06-27,41.833333333333336,8607
Donald Trump,2022-06-29,43.9,1271
Donald Trump,2022-06-30,44,2616
Donald Trump,2022-07-07,41,849
Donald Trump,2022-07-09,39.75,5156
Donald Trump,2022-07-11,41.5,2933
