state,pct,end_date,winner,closest_race
Hawaii,26.6,2024-04-21,Donald Trump,0
Louisiana,51.2,2024-04-21,Donald Trump,0.20000000000000284
Louisiana,51,2022-09-07,Donald Trump,0.20000000000000284
Idaho,53.8,2024-04-21,Donald Trump,0.7000000000000028
Idaho,54.5,2023-10-04,Donald Trump,0.7000000000000028
Alabama,55.6,2024-04-21,Donald Trump,1.3999999999999986
Alabama,57,2023-08-26,Donald Trump,1.3999999999999986
Mississippi,50,2024-04-21,Donald Trump,4
Mississippi,54,2022-09-07,Donald Trump,4
Kentucky,51.5,2024-04-21,Donald Trump,5.5
Kentucky,54.6,2023-10-03,Donald Trump,5.5
Kentucky,55,2023-08-10,Donald Trump,5.5
Kentucky,57,2023-05-19,Donald Trump,5.5
Illinois,36.5,2024-04-21,Donald Trump,8.299999999999997
Illinois,33.7,2023-10-04,Donald Trump,8.299999999999997
Illinois,37.1,2022-10-24,Donald Trump,8.299999999999997
Illinois,42,2022-10-11,Donald Trump,8.299999999999997
Illinois,42,2022-10-11,Donald Trump,8.299999999999997
Illinois,38.3,2022-09-23,Donald Trump,8.299999999999997
Kansas,39.4,2024-10-16,Donald Trump,12.600000000000001
Kansas,49.9,2024-10-16,Donald Trump,12.600000000000001
Kansas,43.2,2024-10-16,Donald Trump,12.600000000000001
Kansas,48.2,2024-10-16,Donald Trump,12.600000000000001
Kansas,43.8,2024-04-21,Donald Trump,12.600000000000001
Kansas,47,2023-10-04,Donald Trump,12.600000000000001
Kansas,50.4,2022-10-29,Donald Trump,12.600000000000001
Kansas,51.5,2022-09-18,Donald Trump,12.600000000000001
Kansas,52,2022-09-07,Donald Trump,12.600000000000001
South Carolina,42,2024-10-22,Donald Trump,13.100000000000001
South Carolina,55.1,2024-10-22,Donald Trump,13.100000000000001
South Carolina,42,2024-09-29,Donald Trump,13.100000000000001
South Carolina,51.6,2024-09-29,Donald Trump,13.100000000000001
South Carolina,47,2024-04-21,Donald Trump,13.100000000000001
South Carolina,50.6,2024-02-16,Donald Trump,13.100000000000001
South Carolina,50,2024-02-10,Donald Trump,13.100000000000001
South Carolina,51,2022-09-07,Donald Trump,13.100000000000001
South Carolina,46,2022-08-25,Donald Trump,13.100000000000001
North Carolina,48.9,2024-11-03,Donald Trump,14.899999999999999
North Carolina,50.5,2024-11-03,Donald Trump,14.899999999999999
North Carolina,46.8,2024-11-02,Donald Trump,14.899999999999999
North Carolina,50.4,2024-11-02,Donald Trump,14.899999999999999
North Carolina,47.1,2024-11-02,Donald Trump,14.899999999999999
North Carolina,50.5,2024-11-02,Donald Trump,14.899999999999999
North Carolina,47,2024-11-02,Donald Trump,14.899999999999999
North Carolina,49,2024-11-02,Donald Trump,14.899999999999999
North Carolina,48,2024-11-02,Donald Trump,14.899999999999999
North Carolina,44,2024-11-02,Donald Trump,14.899999999999999
North Carolina,47,2024-11-02,Donald Trump,14.899999999999999
North Carolina,43,2024-11-02,Donald Trump,14.899999999999999
North Carolina,48,2024-11-02,Donald Trump,14.899999999999999
North Carolina,46,2024-11-02,Donald Trump,14.899999999999999
North Carolina,48,2024-11-02,Donald Trump,14.899999999999999
North Carolina,45,2024-11-02,Donald Trump,14.899999999999999
North Carolina,47.4,2024-11-01,Donald Trump,14.899999999999999
North Carolina,49.2,2024-11-01,Donald Trump,14.899999999999999
North Carolina,46.7,2024-10-31,Donald Trump,14.899999999999999
North Carolina,50.7,2024-10-31,Donald Trump,14.899999999999999
North Carolina,47,2024-10-31,Donald Trump,14.899999999999999
North Carolina,50.7,2024-10-31,Donald Trump,14.899999999999999
North Carolina,47,2024-10-31,Donald Trump,14.899999999999999
North Carolina,48,2024-10-31,Donald Trump,14.899999999999999
North Carolina,47,2024-10-31,Donald Trump,14.899999999999999
North Carolina,48,2024-10-31,Donald Trump,14.899999999999999
North Carolina,48,2024-10-31,Donald Trump,14.899999999999999
North Carolina,49,2024-10-31,Donald Trump,14.899999999999999
North Carolina,49,2024-10-31,Donald Trump,14.899999999999999
North Carolina,49,2024-10-31,Donald Trump,14.899999999999999
North Carolina,49,2024-10-31,Donald Trump,14.899999999999999
North Carolina,50,2024-10-31,Donald Trump,14.899999999999999
