pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,start_date,end_date,recent_poll
AtlasIntel,2.7,Arizona,Kamala Harris,DEM,46.4,1458,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Arizona,Donald Trump,REP,50.6,1458,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Arizona,Kamala Harris,DEM,47.3,1458,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Arizona,Donald Trump,REP,50.8,1458,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Georgia,Kamala Harris,DEM,47.1,1429,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Georgia,Donald Trump,REP,50.2,1429,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Georgia,Kamala Harris,DEM,47.5,1429,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Georgia,Donald Trump,REP,50.9,1429,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Michigan,Kamala Harris,DEM,47.9,983,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Michigan,Donald Trump,REP,49.2,983,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Michigan,Kamala Harris,DEM,48.1,983,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Michigan,Donald Trump,REP,49.3,983,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Nevada,Kamala Harris,DEM,47.5,1083,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Nevada,Donald Trump,REP,48.4,1083,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Nevada,Kamala Harris,DEM,47.6,1083,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Nevada,Donald Trump,REP,48.5,1083,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,North Carolina,Kamala Harris,DEM,48.5,1665,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,North Carolina,Donald Trump,REP,48.4,1665,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,North Carolina,Kamala Harris,DEM,48.9,1665,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,North Carolina,Donald Trump,REP,48.4,1665,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Pennsylvania,Kamala Harris,DEM,46.6,1299,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Pennsylvania,Donald Trump,REP,48.7,1299,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Pennsylvania,Kamala Harris,DEM,46.9,1299,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Pennsylvania,Donald Trump,REP,49.6,1299,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Wisconsin,Kamala Harris,DEM,48.1,1470,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Wisconsin,Donald Trump,REP,48.7,1470,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Wisconsin,Kamala Harris,DEM,48.5,1470,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Wisconsin,Donald Trump,REP,49,1470,Voters,2024-10-25,2024-10-29,Recent
Data Orbital,2.9,Arizona,Kamala Harris,DEM,41.9,550,Voters,2024-10-26,2024-10-28,Recent
Data Orbital,2.9,Arizona,Donald Trump,REP,49.7,550,Voters,2024-10-26,2024-10-28,Recent
Cygnal,2.1,Texas,Kamala Harris,DEM,43,600,Voters,2024-10-26,2024-10-28,Recent
Cygnal,2.1,Texas,Donald Trump,REP,51,600,Voters,2024-10-26,2024-10-28,Recent
Trafalgar Group,0.7,North Carolina,Kamala Harris,DEM,46.2,1091,Voters,2024-10-25,2024-10-28,Recent
Trafalgar Group,0.7,North Carolina,Donald Trump,REP,49.4,1091,Voters,2024-10-25,2024-10-28,Recent
Trafalgar Group,0.7,Nevada,Kamala Harris,DEM,47.8,1082,Voters,2024-10-25,2024-10-28,Recent
Trafalgar Group,0.7,Nevada,Donald Trump,REP,47.6,1082,Voters,2024-10-25,2024-10-28,Recent
Trafalgar Group,0.7,Ohio,Kamala Harris,DEM,45.6,1127,Voters,2024-10-25,2024-10-28,Recent
Trafalgar Group,0.7,Ohio,Donald Trump,REP,51.7,1127,Voters,2024-10-25,2024-10-28,Recent
SurveyUSA,2.8,Minnesota,Kamala Harris,DEM,51,728,Voters,2024-10-24,2024-10-28,Recent
SurveyUSA,2.8,Minnesota,Donald Trump,REP,43,728,Voters,2024-10-24,2024-10-28,Recent
Monmouth,2.9,Pennsylvania,Kamala Harris,DEM,46,824,Voters,2024-10-24,2024-10-28,Recent
Monmouth,2.9,Pennsylvania,Donald Trump,REP,47,824,Voters,2024-10-24,2024-10-28,Recent
Quinnipiac,2.8,Pennsylvania,Kamala Harris,DEM,46,2186,Voters,2024-10-24,2024-10-28,Recent
Quinnipiac,2.8,Pennsylvania,Donald Trump,REP,47,2186,Voters,2024-10-24,2024-10-28,Recent
Quinnipiac,2.8,Pennsylvania,Kamala Harris,DEM,47,2186,Voters,2024-10-24,2024-10-28,Recent
Quinnipiac,2.8,Pennsylvania,Donald Trump,REP,49,2186,Voters,2024-10-24,2024-10-28,Recent
CNN/SSRS,2.8,Michigan,Kamala Harris,DEM,48,726,Voters,2024-10-23,2024-10-28,Recent
CNN/SSRS,2.8,Michigan,Donald Trump,REP,43,726,Voters,2024-10-23,2024-10-28,Recent
CNN/SSRS,2.8,Pennsylvania,Kamala Harris,DEM,48,819,Voters,2024-10-23,2024-10-28,Recent
CNN/SSRS,2.8,Pennsylvania,Donald Trump,REP,48,819,Voters,2024-10-23,2024-10-28,Recent
CNN/SSRS,2.8,Wisconsin,Kamala Harris,DEM,51,736,Voters,2024-10-23,2024-10-28,Recent
CNN/SSRS,2.8,Wisconsin,Donald Trump,REP,45,736,Voters,2024-10-23,2024-10-28,Recent
YouGov,3,Pennsylvania,Kamala Harris,DEM,49,1273,Voters,2024-10-22,2024-10-28,Recent
YouGov,3,Pennsylvania,Donald Trump,REP,49,1273,Voters,2024-10-22,2024-10-28,Recent
YouGov,3,Nebraska,Kamala Harris,DEM,40,1206,Voters,2024-10-21,2024-10-28,Recent
YouGov,3,Nebraska,Donald Trump,REP,55,1206,Voters,2024-10-21,2024-10-28,Recent
YouGov,3,Nebraska,Kamala Harris,DEM,43,408,Voters,2024-10-21,2024-10-28,Recent
YouGov,3,Nebraska,Donald Trump,REP,51,408,Voters,2024-10-21,2024-10-28,Recent
YouGov,3,Nebraska,Kamala Harris,DEM,52,393,Voters,2024-10-21,2024-10-28,Recent
YouGov,3,Nebraska,Donald Trump,REP,44,393,Voters,2024-10-21,2024-10-28,Recent
YouGov,3,Nebraska,Kamala Harris,DEM,25,404,Voters,2024-10-21,2024-10-28,Recent
YouGov,3,Nebraska,Donald Trump,REP,70,404,Voters,2024-10-21,2024-10-28,Recent
InsiderAdvantage,2,Pennsylvania,Kamala Harris,DEM,47.4,800,Voters,2024-10-26,2024-10-27,Recent
InsiderAdvantage,2,Pennsylvania,Donald Trump,REP,48.4,800,Voters,2024-10-26,2024-10-27,Recent
InsiderAdvantage,2,Michigan,Kamala Harris,DEM,47.9,800,Voters,2024-10-26,2024-10-27,Recent
InsiderAdvantage,2,Michigan,Donald Trump,REP,48.5,800,Voters,2024-10-26,2024-10-27,Recent
Cygnal,2.1,New York,Kamala Harris,DEM,56.8,600,Voters,2024-10-26,2024-10-27,Recent
Cygnal,2.1,New York,Donald Trump,REP,39,600,Voters,2024-10-26,2024-10-27,Recent
InsiderAdvantage,2,Wisconsin,Kamala Harris,DEM,48,800,Voters,2024-10-26,2024-10-27,Recent
InsiderAdvantage,2,Wisconsin,Donald Trump,REP,49,800,Voters,2024-10-26,2024-10-27,Recent
Emerson,2.9,Michigan,Kamala Harris,DEM,49.3,1000,Voters,2024-10-25,2024-10-27,Recent
Emerson,2.9,Michigan,Donald Trump,REP,49.8,1000,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Arizona,Kamala Harris,DEM,47,901,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Arizona,Donald Trump,REP,49,901,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Georgia,Kamala Harris,DEM,47,1112,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Georgia,Donald Trump,REP,48,1112,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Michigan,Kamala Harris,DEM,49,728,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Michigan,Donald Trump,REP,48,728,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Nevada,Kamala Harris,DEM,47,531,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Nevada,Donald Trump,REP,47,531,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Kamala Harris,DEM,46,770,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Donald Trump,REP,48,770,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Pennsylvania,Kamala Harris,DEM,48,1116,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Pennsylvania,Donald Trump,REP,48,1116,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Kamala Harris,DEM,49,746,Voters,2024-10-25,2024-10-27,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Donald Trump,REP,47,746,Voters,2024-10-25,2024-10-27,Recent
RABA Research,1.3,Arizona,Kamala Harris,DEM,45,589,Voters,2024-10-25,2024-10-27,Recent
RABA Research,1.3,Arizona,Donald Trump,REP,43,589,Voters,2024-10-25,2024-10-27,Recent
Suffolk,2.9,Michigan,Kamala Harris,DEM,47,500,Voters,2024-10-24,2024-10-27,Recent
Suffolk,2.9,Michigan,Donald Trump,REP,47.4,500,Voters,2024-10-24,2024-10-27,Recent
Susquehanna,2.3,Michigan,Kamala Harris,DEM,51.7,400,Voters,2024-10-23,2024-10-27,Recent
Susquehanna,2.3,Michigan,Donald Trump,REP,46.6,400,Voters,2024-10-23,2024-10-27,Recent
Trafalgar Group,0.7,Georgia,Kamala Harris,DEM,45.9,1087,Voters,2024-10-24,2024-10-26,Recent
Trafalgar Group,0.7,Georgia,Donald Trump,REP,48.3,1087,Voters,2024-10-24,2024-10-26,Recent
Trafalgar Group,0.7,Arizona,Kamala Harris,DEM,46,1094,Voters,2024-10-24,2024-10-26,Recent
Trafalgar Group,0.7,Arizona,Donald Trump,REP,48.1,1094,Voters,2024-10-24,2024-10-26,Recent
Patriot Polling,1.1,Michigan,Kamala Harris,DEM,49,796,Voters,2024-10-24,2024-10-26,Recent
Patriot Polling,1.1,Michigan,Donald Trump,REP,50,796,Voters,2024-10-24,2024-10-26,Recent
Praecones Analytica,2,New Hampshire,Kamala Harris,DEM,49.8,622,Voters,2024-10-24,2024-10-26,Recent
Praecones Analytica,2,New Hampshire,Donald Trump,REP,50.2,622,Voters,2024-10-24,2024-10-26,Recent
Emerson,2.9,Massachusetts,Kamala Harris,DEM,60.2,1000,Voters,2024-10-24,2024-10-26,Recent
Emerson,2.9,Massachusetts,Donald Trump,REP,37.2,1000,Voters,2024-10-24,2024-10-26,Recent
