pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,methodology,recent_poll,predicted_pct
Siena/NYT,3,Florida,Kamala Harris,DEM,41,622,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Florida,Kamala Harris,DEM,40,622,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Texas,Kamala Harris,DEM,44,617,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Texas,Kamala Harris,DEM,42,617,Voters,Live Phone,Recent,46.36139002985464
The Washington Post,3,North Carolina,Kamala Harris,DEM,48,1001,Voters,Live Phone/Text-to-Web,Recent,47.71638660672389
The Washington Post,3,North Carolina,Kamala Harris,DEM,47,1001,Voters,Live Phone/Text-to-Web,Recent,47.71638660672389
Siena/NYT,3,Nebraska CD-2,Kamala Harris,DEM,51,680,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Nebraska CD-2,Kamala Harris,DEM,49,680,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Nebraska CD-2,Kamala Harris,DEM,52,680,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Nebraska CD-2,Kamala Harris,DEM,51,680,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Michigan,Kamala Harris,DEM,45,688,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Michigan,Kamala Harris,DEM,43,688,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Michigan,Kamala Harris,DEM,48,688,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Michigan,Kamala Harris,DEM,46,688,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Ohio,Kamala Harris,DEM,45,687,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Ohio,Kamala Harris,DEM,44,687,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Ohio,Kamala Harris,DEM,44,687,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Ohio,Kamala Harris,DEM,43,687,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Wisconsin,Kamala Harris,DEM,49,680,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Wisconsin,Kamala Harris,DEM,48,680,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Wisconsin,Kamala Harris,DEM,49,680,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Wisconsin,Kamala Harris,DEM,48,680,Voters,Live Phone,Recent,46.36139002985464
Marquette Law School,3,Wisconsin,Kamala Harris,DEM,52,882,Voters,Probability Panel,Recent,50.29563610750742
Marquette Law School,3,Wisconsin,Kamala Harris,DEM,52,798,Voters,Probability Panel,Recent,50.29563610750742
Marquette Law School,3,Wisconsin,Kamala Harris,DEM,48,882,Voters,Probability Panel,Recent,50.29563610750742
Marquette Law School,3,Wisconsin,Kamala Harris,DEM,49,798,Voters,Probability Panel,Recent,50.29563610750742
YouGov,3,Georgia,Kamala Harris,DEM,49,1441,Voters,Online Panel,Recent,47.21295839297203
Siena/NYT,3,Arizona,Kamala Harris,DEM,45,713,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Arizona,Kamala Harris,DEM,45,713,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Arizona,Kamala Harris,DEM,42,713,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Arizona,Kamala Harris,DEM,43,713,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Georgia,Kamala Harris,DEM,44,682,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Georgia,Kamala Harris,DEM,45,682,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Georgia,Kamala Harris,DEM,43,682,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,Georgia,Kamala Harris,DEM,44,682,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,North Carolina,Kamala Harris,DEM,47,682,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,North Carolina,Kamala Harris,DEM,47,682,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,North Carolina,Kamala Harris,DEM,46,682,Voters,Live Phone,Recent,46.36139002985464
Siena/NYT,3,North Carolina,Kamala Harris,DEM,45,682,Voters,Live Phone,Recent,46.36139002985464
